"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"200008","2020","10/06/2020","104400.00","50000.00","2.088"
"200014","2020","12/21/2020","333800.00","615000.00","0.5427"
"200415","2020","12/31/2020","196000.00","215000.00","0.9116"
"200626","2020","06/21/2021","91320.00","220000.00","0.415"
"20148","2020","11/18/2020","71330.00","322000.00","0.2215"
"20022","2020","10/30/2020","40950.00","7000.00","5.85"
"200013","2020","10/07/2020","301340.00","308500.00","0.9767"
"200091","2020","08/26/2021","340700.00","770000.00","0.4424"
"200203","2020","01/11/2021","169320.00","283500.00","0.5972"
"200921","2020","04/29/2021","414120.00","670000.00","0.618"
"20288","2020","04/26/2021","171760.00","527286.00","0.3257"
"201488","2020","09/08/2021","243900.00","445800.00","0.5471"
"20000031","2020","07/20/2021","60550.00","147000.00","0.4119"
"200777","2020","09/21/2021","105840.00","158400.00","0.668181818"
"201314","2020","08/27/2021","133490.00","256000.00","0.5214"
"20494","2020","07/19/2021","767970.00","1262000.00","0.608534073"
"200906","2020","04/27/2021","296870.00","558000.00","0.532"
"20460","2020","08/20/2021","198800.00","430000.00","0.4623"
"200250","2020","11/19/2020","491750.00","740000.00","0.664527027"
"200398","2020","08/02/2021","659580.00","431635.00","1.528"
"200114","2020","10/22/2020","160200.00","270000.00","0.5933"
"200265","2020","01/05/2021","111400.00","189900.00","0.5866"
"200000378","2020","08/18/2021","144590.00","320000.00","0.4518"
"20000193","2020","06/25/2021","28000.00","439990.00","0.0636"
"201323","2020","08/03/2021","28420.00","150000.00","0.1894"
"200014","2020","10/06/2020","343830.00","775000.00","0.4436"
"20115","2020","03/15/2021","234010.00","385000.00","0.6078"
"200039","2020","11/03/2020","257110.00","385120.00","0.6676"
"200211","2020","01/27/2021","176040.00","279000.00","0.6309"
"200066","2020","03/15/2021","147900.00","275000.00","0.5378"
"20504","2020","09/16/2021","196980.00","442000.00","0.4456"
"200268","2020","01/26/2021","339430.00","356000.00","0.9534"
"20167","2020","11/23/2020","155120.00","342500.00","0.4529"
"200189","2020","01/21/2021","125030.00","225000.00","0.5556"
"200124","2020","04/20/2021","600980.00","925000.00","0.6497"
"2020256","2020","06/25/2021","83100.00","257000.00","0.3233"
"200290","2020","12/11/2020","121310.00","248000.00","0.4891"
"200016","2020","11/19/2020","205700.00","277000.00","0.742599278"
"20084","2020","11/12/2020","902580.00","1425000.00","0.6333"
"200089","2020","11/17/2020","358260.00","570000.00","0.6285"
"20231","2020","03/24/2021","355670.00","500000.00","0.7113"
"2020300","2020","06/17/2021","202300.00","375000.00","0.5394"
"200031","2020","11/10/2020","200500.00","287000.00","0.6986"
"20020","2020","10/06/2020","918260.00","1416000.00","0.6484"
"20045","2020","06/22/2021","152720.00","259000.00","0.5896"
"200390","2020","03/12/2021","268800.00","450000.00","0.5973"
"200708","2020","04/16/2021","114600.00","249000.00","0.460240964"
"20072","2020","06/22/2021","106300.00","229900.00","0.4623"
"200091","2020","11/02/2020","113310.00","198000.00","0.5722"
"200695","2020","07/12/2021","108130.00","210000.00","0.5149"
"200555","2020","03/08/2021","55650.00","97500.00","0.570769231"
"20044","2020","11/25/2020","240.00","460225.00","0.000521484"
"200597","2020","09/29/2021","346240.00","810000.00","0.4274"
"200334","2020","12/08/2020","216500.00","395000.00","0.5481"
"200008","2020","10/02/2020","99220.00","130000.00","0.7632"
"20518","2020","09/28/2021","190610.00","410000.00","0.4649"
"200196","2020","07/08/2021","12800.00","25500.00","0.5019"
"200212","2020","09/03/2021","281500.00","680000.00","0.413970588"
"200949","2020","06/21/2021","108080.00","240000.00","0.4503"
"200269","2020","11/23/2020","642180.00","1122500.00","0.572"
"201294","2020","08/02/2021","170300.00","255000.00","0.6678"
"2020226","2020","04/19/2021","166500.00","320000.00","0.5203"
"20000088","2020","12/01/2020","98940.00","175000.00","0.5653"
"200481","2020","01/12/2021","311500.00","550000.00","0.5663"
"200025","2020","11/19/2020","421500.00","650000.00","0.6484"
"200572","2020","01/08/2021","175900.00","143000.00","1.23"
"200889","2020","09/07/2021","131580.00","255000.00","0.516"
"201124","2020","08/03/2021","88130.00","140000.00","0.6295"
"20002","2020","10/02/2020","253000.00","430000.00","0.5883"
"201390","2020","08/23/2021","149900.00","315000.00","0.4758"
"200009","2020","10/05/2020","341970.00","493000.00","0.6936"
"200076","2020","02/26/2021","171930.00","245000.00","0.701755102"
"20060","2020","12/21/2020","153720.00","279000.00","0.5509"
"201211","2020","09/02/2021","114800.00","183000.00","0.6273"
"200042","2020","05/19/2021","355800.00","599000.00","0.5939"
"201112","2020","08/16/2021","383944.00","945571.00","0.406"
"200234","2020","03/17/2021","11500.00","50000.00","0.23"
"200226","2020","06/08/2021","201000.00","430000.00","0.4674"
"20864","2020","08/30/2021","130860.00","280000.00","0.4673"
"200494","2020","05/24/2021","179200.00","295000.00","0.6074"
"201385","2020","08/19/2021","275200.00","490000.00","0.5616"
"200704","2020","07/22/2021","110500.00","690000.00","0.1601"
"20354","2020","02/16/2021","102800.00","205000.00","0.5014"
"201677","2020","09/01/2021","864850.00","1150000.00","0.752"
"20294","2020","12/31/2020","58135.00","258000.00","0.2253"
"200375","2020","03/24/2021","691000.00","765000.00","0.903267974"
"200020","2020","10/05/2020","8322440.00","8675000.00","0.9593"
"2000214","2020","05/07/2021","142100.00","240000.00","0.592"
"201051","2020","07/26/2021","92400.00","211000.00","0.4379"
"200065","2020","11/24/2020","322400.00","538235.00","0.5989"
